City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Rabo De Peixe,PT,37.8,-25.5833,58.51,95,40,14.97,scattered clouds
228,Perth,AU,-31.9333,115.8333,89.15,37,0,18.41,clear sky
229,Pokrovsk,UA,48.282,37.1758,32.38,88,100,20.65,overcast clouds
230,Monopoli,IT,40.9559,17.2896,46.42,76,2,5.59,clear sky
231,Galesong,ID,-5.3166,119.3661,82.42,73,98,11.99,overcast clouds
232,Channel-Port Aux Basques,CA,47.5702,-59.1367,24.93,78,100,22.26,overcast clouds
233,Naze,JP,28.3667,129.4833,56.32,55,54,15.9,broken clouds
234,Luderitz,NA,-26.6481,15.1594,64.24,90,66,5.66,broken clouds
235,Salihorsk,BY,52.7876,27.5415,27.07,91,100,19.1,overcast clouds
236,Hamilton,US,39.1834,-84.5333,28.2,80,86,1.01,overcast clouds
237,Pemberton,CA,50.3164,-122.8027,31.86,98,100,4.27,overcast clouds
238,Harper,LR,4.375,-7.7169,77.23,87,32,4.23,scattered clouds
239,Turbat,PK,26.0023,63.044,75.74,35,0,1.36,clear sky
240,Chimbote,PE,-9.0853,-78.5783,68.47,90,100,4.56,overcast clouds
241,Georgetown,MY,5.4112,100.3354,91.33,61,20,8.99,few clouds
242,Aksarka,RU,66.5606,67.7975,-4.04,98,99,3.62,overcast clouds
243,Kavieng,PG,-2.5744,150.7967,83.64,69,94,2.51,overcast clouds
244,Severo-Kurilsk,RU,50.6789,156.125,28.56,81,98,14.2,light snow
245,Deputatskiy,RU,69.3,139.9,-23.22,100,73,2.35,broken clouds
246,Nevel,RU,56.0209,29.9284,24.84,99,99,0.94,light snow
247,Abnub,EG,27.2696,31.1511,43.02,54,7,8.12,clear sky
248,Banepa,NP,27.6298,85.5214,55.72,44,20,3.44,few clouds
249,Lompoc,US,34.6391,-120.4579,51.57,86,0,11.99,clear sky
250,Bandarbeyla,SO,9.4942,50.8122,78.55,72,83,18.25,broken clouds
251,Fresno,US,36.6666,-119.8343,51.15,72,0,3.44,haze
252,Stromness,GB,58.965,-3.296,37.36,65,97,37.09,overcast clouds
253,Porto Nacional,BR,-10.7081,-48.4172,75.2,96,100,1.5,heavy intensity rain
254,Colon,PA,9.3592,-79.9014,76.01,78,3,7.0,clear sky
255,Strezhevoy,RU,60.7333,77.5889,8.58,96,100,7.63,overcast clouds
256,Pevek,RU,69.7008,170.3133,-20.06,100,94,2.98,overcast clouds
257,Iqaluit,CA,63.7506,-68.5145,-25.31,67,20,11.01,few clouds
258,Wanning,CN,18.8003,110.3967,69.71,88,100,9.48,overcast clouds
259,Matagami,CA,49.7502,-77.6328,-14.69,76,40,3.44,scattered clouds
260,Sabang,ID,5.8933,95.3214,81.63,76,83,11.43,broken clouds
261,Santa Maria Do Suacui,BR,-18.1903,-42.4142,67.42,95,100,1.3,overcast clouds
262,Buenaventura,CO,3.8801,-77.0312,72.46,95,100,2.73,overcast clouds
263,Macamic,CA,48.7502,-78.9996,-9.17,100,93,2.75,overcast clouds
264,Anori,BR,-3.7728,-61.6442,71.92,98,99,2.04,overcast clouds
265,Adrar,MR,20.5022,-10.0711,69.57,15,100,11.81,overcast clouds
266,Faanui,PF,-16.4833,-151.75,80.94,72,6,9.35,clear sky
267,Belmonte,BR,-15.8631,-38.8828,77.5,88,30,7.52,scattered clouds
268,Hirara,JP,24.8,125.2833,64.26,59,75,16.11,broken clouds
269,Sri Aman,MY,1.2376,111.4621,87.85,70,40,3.44,scattered clouds
270,Saint-Joseph,RE,-21.3667,55.6167,84.56,78,71,14.41,broken clouds
271,Pangnirtung,CA,66.1451,-65.7125,-23.58,85,64,5.93,broken clouds
272,Esqueda,MX,30.7167,-109.5833,46.42,36,0,3.24,clear sky
273,Baruun-Urt,MN,46.6806,113.2792,5.25,69,5,5.41,clear sky
274,Kawalu,ID,-7.3817,108.2082,84.74,69,96,1.92,overcast clouds
275,Odesskoye,RU,54.2111,72.9651,8.06,94,96,8.84,overcast clouds
276,Sobolevo,RU,54.4299,31.8996,25.12,98,100,3.33,light snow
277,Itarema,BR,-2.9248,-39.9167,76.75,87,99,8.39,overcast clouds
278,Sitka,US,57.0531,-135.33,26.46,90,30,4.76,scattered clouds
279,Gusinoye Ozero,RU,51.1144,106.2614,-0.38,92,90,3.44,overcast clouds
280,Krasnoselkup,RU,65.7,82.4667,5.83,94,99,10.8,overcast clouds
281,Sisimiut,GL,66.9395,-53.6735,1.47,76,93,10.11,overcast clouds
282,Panjab,AF,34.388,67.0233,17.96,93,94,2.26,overcast clouds
283,Bilma,NE,18.6853,12.9164,49.68,22,2,14.18,clear sky
284,Alofi,NU,-19.0595,-169.9187,78.69,78,75,2.3,broken clouds
285,Lodwar,KE,3.1191,35.5973,85.26,37,100,6.58,overcast clouds
286,Hwange,ZW,-18.3693,26.5019,68.23,97,100,4.18,light rain
287,Inirida,CO,3.8653,-67.9239,70.56,64,32,2.13,scattered clouds
288,Shingu,JP,33.7333,135.9833,47.39,33,4,7.65,clear sky
289,Belaya Gora,RU,68.5333,146.4167,-25.83,100,97,0.74,overcast clouds
290,Chapais,CA,49.7834,-74.8492,-15.02,100,95,3.2,overcast clouds
291,Puerto Del Rosario,ES,28.5004,-13.8627,60.48,63,0,5.75,haze
292,Half Moon Bay,US,37.4636,-122.4286,52.88,87,100,0.0,overcast clouds
293,Narsaq,GL,60.9167,-46.05,21.96,84,100,14.56,snow
294,Ribeira Grande,PT,38.5167,-28.7,59.32,73,35,23.17,scattered clouds
295,Opuwo,NA,-18.0607,13.84,63.21,54,98,3.24,overcast clouds
296,Margate,GB,51.3813,1.3862,44.96,71,63,11.01,broken clouds
297,Klaksvik,FO,62.2266,-6.589,34.72,62,99,35.68,overcast clouds
298,Cabo San Lucas,MX,22.8909,-109.9124,70.52,78,88,3.0,overcast clouds
299,Hithadhoo,MV,-0.6,73.0833,82.51,70,8,10.38,clear sky
300,Rassvet,RU,46.8333,40.75,34.09,100,100,11.41,overcast clouds
301,Kununurra,AU,-15.7667,128.7333,78.78,89,75,21.85,moderate rain
302,Hobbs,US,32.7026,-103.136,50.59,69,99,3.0,overcast clouds
303,Jasper,US,37.2001,-94.3502,36.82,52,21,1.01,few clouds
304,Vilyuysk,RU,63.7553,121.6247,-13.99,97,66,3.8,broken clouds
305,Tanout,NE,14.9709,8.8879,54.19,18,9,18.99,clear sky
306,Krasnomayskiy,RU,57.6194,34.4099,23.04,97,100,5.68,light snow
307,Arlit,NE,18.7369,7.3853,54.25,19,2,9.86,clear sky
308,Anjiang,CN,27.3194,110.1031,38.71,99,100,2.89,overcast clouds
309,Ocampo,MX,21.65,-101.5,49.98,32,3,8.14,clear sky
310,Maneadero,MX,31.7167,-116.5667,55.11,73,3,6.46,clear sky
311,Taunsa,PK,30.7048,70.6505,69.98,24,1,4.29,clear sky
312,Havre-Saint-Pierre,CA,50.2334,-63.5986,14.0,72,100,13.8,overcast clouds
313,Solnechnyy,RU,50.7214,136.6319,3.29,92,97,4.68,overcast clouds
314,Sangamner,IN,19.5667,74.2167,79.84,20,0,1.01,clear sky
315,Axim,GH,4.8699,-2.2405,75.36,87,34,2.62,scattered clouds
316,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,74,0,8.99,clear sky
317,Muros,ES,42.7762,-9.0603,46.99,84,2,12.46,clear sky
318,Winnemucca,US,40.973,-117.7357,39.11,40,56,7.63,broken clouds
319,Kieta,PG,-6.2167,155.6333,84.33,73,100,7.05,light rain
320,Port Moresby,PG,-9.4431,147.1797,81.82,78,75,10.36,light rain
321,Saint-Augustin,CA,51.226,-58.6502,1.9,91,64,8.25,broken clouds
322,Borba,BR,-4.3878,-59.5939,71.98,96,100,2.3,overcast clouds
323,Warmbad,NA,-28.45,18.7333,80.08,53,61,16.67,broken clouds
324,Delmas,HT,18.5447,-72.3028,71.4,86,46,0.85,scattered clouds
325,Bowen,AU,-20.0167,148.2333,80.82,71,21,13.2,few clouds
326,Santa Cruz De Tenerife,ES,28.4682,-16.2546,64.69,67,0,5.99,clear sky
327,Kifri,IQ,34.6959,44.9661,48.83,53,0,5.55,clear sky
328,Nouadhibou,MR,20.931,-17.0347,64.38,77,100,17.27,overcast clouds
329,Srednekolymsk,RU,67.45,153.6833,-30.26,100,97,4.25,overcast clouds
330,Grand-Santi,GF,4.25,-54.3833,70.14,99,75,1.23,broken clouds
331,Tilisos,GR,35.2961,25.0159,50.7,82,75,4.0,broken clouds
332,Miracatu,BR,-24.2814,-47.4597,69.06,99,100,2.1,overcast clouds
333,Matay,EG,28.419,30.7792,49.77,58,44,11.45,scattered clouds
334,Bonoua,CI,5.2741,-3.595,76.62,92,96,2.86,overcast clouds
335,Manokwari,ID,-0.8667,134.0833,79.03,74,100,12.64,heavy intensity rain
336,Dayong,CN,25.0209,118.2898,55.89,48,89,4.18,light rain
337,Talara,PE,-4.5772,-81.2719,71.29,84,100,9.57,overcast clouds
338,Nuevitas,CU,21.5453,-77.2644,67.64,64,98,8.59,overcast clouds
339,Denpasar,ID,-8.65,115.2167,85.71,74,20,10.36,light rain
340,Ikryanoye,RU,46.0932,47.7308,26.58,77,21,7.09,few clouds
341,Biltine,TD,14.5333,20.9167,58.8,19,4,14.61,clear sky
342,Santa Margherita Ligure,IT,44.3346,9.212,54.52,78,89,1.01,overcast clouds
343,Port Blair,IN,11.6667,92.75,80.64,61,40,9.22,haze
344,Tiksi,RU,71.6872,128.8694,-13.59,99,100,3.53,overcast clouds
