City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Katsuura,JP,2022-01-30 07:38:57,35.1333,140.3,47.19,55,100,6.64
185,Esna,EG,2022-01-30 07:41:57,25.2934,32.554,53.62,35,42,12.97
186,Georgetown,MY,2022-01-30 07:34:16,5.4112,100.3354,91.33,66,20,11.99
187,Fare,PF,2022-01-30 07:41:59,-16.7,-151.0167,80.6,73,100,9.86
188,Dunedin,NZ,2022-01-30 07:38:25,-45.8742,170.5036,62.8,74,100,4.0
189,Kenora,CA,2022-01-30 07:39:36,49.8167,-94.4337,10.38,85,40,3.44
190,Pereyaslovskaya,RU,2022-01-30 07:42:00,45.8412,39.0238,33.4,89,13,10.11
191,Beringovskiy,RU,2022-01-30 07:37:29,63.05,179.3167,-13.11,100,86,2.68
192,Maceio,BR,2022-01-30 07:42:01,-9.6658,-35.7353,76.44,88,40,4.61
193,Roebourne,AU,2022-01-30 07:37:45,-20.7833,117.1333,88.9,56,82,27.78
194,Picton,AU,2022-01-30 07:42:02,-34.1833,150.6,82.71,67,23,6.87
195,Lata,PT,2022-01-30 07:42:03,40.1629,-8.3327,45.05,48,38,5.32
196,Arraial Do Cabo,BR,2022-01-30 07:37:41,-22.9661,-42.0278,74.86,95,82,4.56
197,Kupang,ID,2022-01-30 07:42:03,-10.1667,123.5833,82.98,78,40,13.8
198,Itatiaia,BR,2022-01-30 07:42:05,-22.4961,-44.5633,69.33,94,100,1.74
199,Minsk,BY,2022-01-30 07:38:03,53.9,27.5667,33.55,94,100,17.69
200,Sibolga,ID,2022-01-30 07:42:06,1.7427,98.7792,82.62,79,98,4.9
201,Airai,TL,2022-01-30 07:37:39,-8.9266,125.4092,67.3,76,100,5.28
202,Salinas,US,2022-01-30 07:42:07,36.6777,-121.6555,51.82,71,0,0.0
203,Ouegoa,NC,2022-01-30 07:42:09,-20.35,164.4333,81.77,77,100,7.2
204,Kalmunai,LK,2022-01-30 07:42:12,7.4167,81.8167,83.53,66,29,8.63
205,Gazli,UZ,2022-01-30 07:42:15,40.1333,63.45,43.3,49,87,12.62
206,Moranbah,AU,2022-01-30 07:42:15,-22.0016,148.0466,86.67,46,82,12.77
207,Torbay,CA,2022-01-30 07:35:30,47.6666,-52.7314,53.28,97,100,29.93
208,Longyearbyen,SJ,2022-01-30 07:35:53,78.2186,15.6401,8.44,61,20,13.8
209,Zatoka,UA,2022-01-30 07:42:16,46.0725,30.4654,30.74,82,100,23.04
210,Tepic,MX,2022-01-30 07:42:18,21.5,-104.9,58.1,51,3,2.82
